# update: 2020-01-24 09:47:38 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|80|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|46|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|44|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|36|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|15|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|11|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|5978|131||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 09:41:42 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|152|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|91|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|46|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|44|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|36|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|15|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|11|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|5980|131||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 10:14:42 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|152|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|91|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|46|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|44|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|36|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|15|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|11|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0|疑似 1 例|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|5980|132||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 10:32:18 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|152|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0|待明确地区治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|91|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|46|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|44|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|36|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|25|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|15|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|11|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0|疑似 1 例|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|5981|132||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 10:45:12 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|152|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0|待明确地区治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|91|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|46|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|44|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|36|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|25|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|16|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|12|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0|疑似 1 例|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|5983|132||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 10:52:06 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|152|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|91|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|46|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|44|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|36|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|25|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|16|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|12|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0|疑似 1 例|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|5983|132||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 11:17:24 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|152|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|91|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|56|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|44|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|36|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|25|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|16|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|12|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0|疑似 1 例|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|5993|132||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 12:45:55 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|155|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|91|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|56|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|44|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|36|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|25|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|16|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|12|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0|疑似 1 例|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|5996|132||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 13:08:56 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|155|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|91|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|58|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|56|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|51|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|48|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|43|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|37|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|37|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|27|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin|25|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|24|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia|16|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|12|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong|8|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai|6|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibet|0|0|疑似 1 例|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA TOTAL|6004|132||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-29 13:22:29 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|3554|125|待明确地区：治愈 30|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|296|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|241|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|221|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|206|2|待明确地区：死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|155|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|147|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|121|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|109|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|108|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|102|1|待明确地区：死亡 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|99|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|82|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai|80|1|待明确地区：确诊 7 死亡 1 治愈 1|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
