# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-22 03:28:10 CST
# place|confirmed_cases|deaths|notes|sources
Zhejiang|428|0||
Guangdong|311|0|待明确地区治愈 1 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|165|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|43|1||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|29|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|8|0||
Macau|7|0||
Qinghai|6|0||
Tibet|1|0||
CHINA TOTAL|7766|170||
# update: 2020-01-30 16:20:12 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4586|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|311|0|待明确地区治愈 1 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|43|1||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|29|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|8|0||
Macau|7|0||
Qinghai|6|0||
Tibet|1|0||
CHINA TOTAL|7783|170||
# update: 2020-01-30 16:35:03 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4586|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|43|1||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|29|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|8|0||
Macau|7|0||
Qinghai|6|0||
Tibet|1|0||
CHINA TOTAL|7826|170||
# update: 2020-01-30 17:59:51 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4586|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|43|1||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|29|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Macau|7|0||
Qinghai|6|0||
Tibet|1|0||
CHINA TOTAL|7827|170||
# update: 2020-01-30 18:22:04 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4586|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|43|1||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|30|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Macau|7|0||
Qinghai|6|0||
Tibet|1|0||
CHINA TOTAL|7828|170||
# update: 2020-01-30 19:23:54 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4586|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|43|1||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|30|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|7830|170||
# update: 2020-01-30 22:22:28 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4903|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|43|1||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|30|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|8147|170||
# update: 2020-01-30 23:04:20 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4903|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|44|2||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|30|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|8148|171||
# update: 2020-01-30 23:07:13 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4903|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|44|2||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|31|0||
Gansu|26|0||
Inner Mongolia|18|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|8149|171||
# update: 2020-01-31 00:04:05 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4903|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|70|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|44|2||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|31|0||
Gansu|26|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|8150|171||
# update: 2020-01-31 00:19:59 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4903|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|114|1|待明确地区：确诊3 死亡 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|76|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|44|2||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|31|0||
Gansu|26|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|8156|171||
# update: 2020-01-31 01:05:03 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4903|162|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|121|1|待明确地区：治愈 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|76|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|44|2||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|31|0||
Gansu|26|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|8163|171||
# update: 2020-01-31 07:26:46 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|200|0||
Chongqing|182|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|121|1|待明确地区：治愈 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|76|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|44|2||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|31|0||
Gansu|26|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9066|213||
# update: 2020-01-31 07:35:18 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Chongqing|206|0||
Anhui|200|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|121|1|待明确地区：治愈 1|
Shanghai|112|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|101|0||
Guangxi|78|0||
Yunnan|76|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|46|1||
Heilongjiang|44|2||
Liaoning|41|0||
Shanxi|35|0||
Tianjin|31|0||
Gansu|26|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|10|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9090|213||
# update: 2020-01-31 08:04:14 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Chongqing|206|0||
Anhui|200|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：治愈 1|
Fujian|101|0||
Guangxi|78|0||
Yunnan|76|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|49|1||
Heilongjiang|44|2||
Liaoning|41|0||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9118|213||
# update: 2020-01-31 08:15:04 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Chongqing|206|0||
Anhui|200|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：治愈 1|
Fujian|101|0||
Guangxi|78|0||
Yunnan|76|0||
Hebei|65|1||
Shaanxi|63|0||
Hainan|49|1||
Liaoning|45|0||
Heilongjiang|44|2||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9122|213||
# update: 2020-01-31 08:26:26 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Chongqing|206|0||
Anhui|200|0||
Jiangxi|162|0||
Shandong|158|0||
Sichuan|142|1||
Jiangsu|129|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：治愈 1|
Fujian|101|0||
Hebei|82|1||
Guangxi|78|0||
Yunnan|76|0||
Shaanxi|63|0||
Hainan|49|1||
Liaoning|45|0||
Heilongjiang|44|2||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9139|213||
# update: 2020-01-31 08:41:17 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|428|0||
Guangdong|354|0|待明确地区治愈 2 例|
Henan|278|2|待明确地区：治愈 2|
Hunan|277|0||
Anhui|237|0||
Chongqing|206|0||
Sichuan|177|1||
Jiangxi|162|0||
Shandong|158|0||
Jiangsu|129|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：治愈 1|
Fujian|101|0||
Guangxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Shaanxi|63|0||
Hainan|49|1||
Liaoning|45|0||
Heilongjiang|44|2||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Jilin|14|0||
Xinjiang|14|0||
Guizhou|12|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9220|213||
# update: 2020-01-31 09:38:40 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0|待明确地区治愈 2 例|
Henan|352|2|待明确地区：治愈 3|
Hunan|277|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：死亡 1，治愈 1|
Fujian|101|0||
Guangxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Shaanxi|63|0||
Heilongjiang|59|2||
Hainan|49|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9600|213||
# update: 2020-01-31 09:57:16 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0|待明确地区治愈 2 例|
Henan|352|2|待明确地区：治愈 3|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：死亡 1，治愈 1|
Fujian|101|0||
Guangxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Shaanxi|63|0||
Heilongjiang|59|2||
Hainan|50|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9656|213||
# update: 2020-01-31 10:18:43 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0|待明确地区治愈 1 例|
Henan|352|2|待明确地区：治愈 3|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：死亡 1，治愈 1|
Fujian|101|0||
Guangxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Shaanxi|63|0||
Heilongjiang|59|2||
Hainan|50|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Inner Mongolia|19|0||
Ningxia|17|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9656|213||
# update: 2020-01-31 10:40:23 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0|待明确地区治愈 1 例|
Henan|352|2|待明确地区：治愈 3|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：死亡 1，治愈 1|
Fujian|101|0||
Guangxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Shaanxi|63|0||
Heilongjiang|59|2||
Hainan|50|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Ningxia|21|0||
Inner Mongolia|19|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9660|213||
# update: 2020-01-31 11:09:45 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0||
Henan|352|2|待明确地区：治愈 3|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：死亡 1，治愈 1|
Fujian|101|0||
Guangxi|87|0||
Shaanxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Heilongjiang|59|2||
Hainan|50|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|31|0||
Gansu|29|0||
Ningxia|21|0||
Inner Mongolia|20|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9685|213||
# update: 2020-01-31 11:21:51 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0||
Henan|352|2|待明确地区：治愈 3|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：死亡 1，治愈 1|
Fujian|101|0||
Guangxi|87|0||
Shaanxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Heilongjiang|59|2||
Hainan|50|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|32|0||
Gansu|29|0||
Ningxia|21|0||
Inner Mongolia|20|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9686|213||
# update: 2020-01-31 11:46:54 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0||
Henan|352|2|待明确地区：治愈 1|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：死亡 1，治愈 1|
Fujian|101|0||
Guangxi|87|0||
Shaanxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Heilongjiang|59|2||
Hainan|50|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|32|0||
Gansu|29|0||
Ningxia|21|0||
Inner Mongolia|20|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9686|213||
# update: 2020-01-31 12:20:20 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0||
Henan|352|2|待明确地区：治愈 1|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|121|1|待明确地区：死亡 1，治愈 1|
Fujian|120|0||
Guangxi|87|0||
Shaanxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Heilongjiang|59|2||
Hainan|50|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|32|0||
Gansu|29|0||
Ningxia|21|0||
Inner Mongolia|20|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9705|213||
# update: 2020-01-31 12:27:08 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0||
Henan|352|2|待明确地区：治愈 1|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Beijing|132|1|待明确地区：死亡 1，治愈 1|
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|120|0||
Guangxi|87|0||
Shaanxi|87|0||
Hebei|82|1||
Yunnan|76|0||
Heilongjiang|59|2||
Hainan|50|1||
Liaoning|45|0||
Shanxi|39|0||
Tianjin|32|0||
Gansu|29|0||
Ningxia|21|0||
Inner Mongolia|20|0||
Xinjiang|17|0||
Guizhou|15|0||
Jilin|14|0||
Hong Kong|12|0||
Taiwan|9|0||
Qinghai|8|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|9716|213||
# update: 2020-01-31 13:06:02 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|5806|204|待明确地区：治愈 30|
Zhejiang|537|0||
Guangdong|393|0||
Henan|352|2|待明确地区：治愈 1|
Hunan|332|0||
Jiangxi|240|0||
Anhui|237|0||
Chongqing|206|0||
Shandong|178|0||
Sichuan|177|1||
Jiangsu|168|0||
Beijing|132|1|待明确地区：死亡 1，治愈 1|
Shanghai|128|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|120|0||
Guangxi|87|0||
Shaanxi|87|0||
Hebei|82|1||
Yunnan|80|0||
